ticker,pe (ttm),price to nca,price to net cash,current ratio,dividend yield %
3261.T,9.72,1.08,-0.9,1.61,2.84
7460.T,19.64,0.8,-0.75,1.66,3.36
5446.T,3.41,0.8,-1.9,1.69,6.18
7537.T,--,0.51,-0.23,1.34,5.79
8917.T,9.33,0.87,-12.96,2.55,3.67
6466.T,2.85,0.81,12.74,2.91,2.5
6804.T,6.09,0.81,6.73,2.51,2.13
9967.T,8.54,0.71,-0.51,1.54,2.67
5956.T,6.71,0.77,-1.1,1.79,1.96
8046.T,7.06,0.47,-0.65,2.16,4.5
1826.T,5.62,0.79,-3.69,1.79,2.84
4231.T,--,0.77,-5.66,1.92,3.29
3321.T,16.57,0.68,-1.74,2.45,4.02
1945.T,9.69,0.83,-17.21,2.65,3.28
7957.T,33.84,0.85,-1.86,1.49,4.3
8137.T,10.38,0.63,-0.56,1.58,3.95
5697.T,--,0.89,-0.38,1.3,2.35
7266.T,--,0.71,-1.3,1.64,3.95
8084.T,9.36,0.66,-1.01,1.97,3.66
8871.T,19.52,0.58,-40.8,2.32,6.3
6916.T,7.38,0.88,-3.95,2.33,2.68
6771.T,24.61,0.8,-1.1,1.64,3.48
9260.T,--,0.71,-9.2,1.85,2.88
7871.T,13.22,0.66,-1.95,1.91,3.64
8152.T,9.07,0.48,-1.99,1.99,3.04
6262.T,--,0.66,-2.31,2.31,6.87
7433.T,14.17,0.72,-0.63,1.66,4.31
7287.T,--,1.17,-2.76,1.49,3.33
8249.T,15.45,0.62,-12.38,2.89,2.89
5449.T,20.1,0.67,-0.97,2.28,2.87
6964.T,11.64,0.64,3.06,2.69,2.86
4464.T,11.42,1.07,1.78,3.78,2.6
3597.T,10.85,0.88,-7.16,4.55,4.97
7565.T,14.28,0.78,17.53,2.25,2.02
4624.T,10.23,1.06,2.27,2.9,1.77
6303.T,24.43,0.46,-2.13,2.85,1.74
5451.T,13.38,1.08,-7.61,2.24,3.62
6417.T,11.27,0.86,0.94,5.68,5.53
6973.T,167.47,0.68,-0.28,1.34,2.83
8995.T,38.03,0.49,12.15,3.04,4.39
7587.T,27.12,0.72,-1.73,2.16,1.85
6794.T,--,1.01,-12.05,2.36,2.43
6882.T,--,0.74,-15.37,3.38,2.2
2055.T,13.08,0.6,117.47,2.14,1.95
6391.T,14.07,0.86,-2.09,2.95,1.7
8140.T,47.41,0.74,-1.7,2.29,3.91
9755.T,13.07,0.76,1.4,4,2.56
6715.T,30.2,0.75,4.24,3.16,3.31
